snapnum scale logmstar logmgas sfr_inst sfr_20Myr sfr_100Myr sfr_1Gyr logmcgm avg_Zstars avg_Zism avg_Zcgm cgm_cold_frac galaxy_size logmvir logrvir num_gas_inner num_gas_outer mdot_in_inner mdot_out_inner mdot_in_outer mdot_out_outer zdot_in_inner zdot_out_inner zdot_in_outer zdot_out_outer mdot_in_outer_dm mdot_out_outer_dm logmgas_dense logmgas_warmionized logmgas_denseSF logmgas_densez logmgas_cold cosmic_age redshift Vvir_DM halo_conc mdot_out_ism_0 mdot_out_halo_0 zdot_out_ism_0 zdot_out_halo_0 edot_out_ism_0 edot_out_halo_0 mdot_out_ism_half zdot_out_ism_half edot_out_ism_half mdot_out_halo_esc zdot_out_halo_esc edot_out_halo_esc vcirc_halo mdot_in_ism_tracked mdot_out_ism_tracked mdot_in_halo_tracked mdot_out_halo_tracked mdot_in_halo_dm_tracked zdot_in_ism_tracked zdot_out_ism_tracked zdot_in_halo_tracked zdot_out_halo_tracked edot_out_ism_tracked edot_out_halo_tracked f_fountain logmcgm_new logmism_new vcirc_ism vcirc_half TE_cgm KE_cgm edot_in_halo edot_in_halo_th edot_in_halo_kin edot_out_halo edot_out_halo_th edot_out_halo_kin edot_out_ism edot_out_ism_th edot_out_ism_kin TE_inner KE_inner
12 0.07828 3.7553728814484586 -inf 0.0 0.0 5.69341552734375e-05 5.69341552734375e-06 6.4696111617554735 3.2297578140678444e-05 nan 6.375614601528739e-05 0.29488192369836635 nan 8.37438013051484 1.309454240227812 0.0 334.0 0.0 0.0 0.07030151991370004 0.1275477449098088 0.0 0.0 1.7370408609036364e-06 1.1020766783909367e-05 1.3885515006020452 0.1164866015334041 -inf -inf -inf -inf -inf 0.3773308111386617 11.774655084312723 25.259112142913274 5.01710319519043 0.0 0.10448573191885652 0.0 9.666783069800469e-06 0.0 6.241382304830104e+38 0.0 0.0 0.0 0.044190424309396285 6.1068392047360285e-06 5.91621480711626e+38 25.44238506255583 0.0 0.0 0.17821899216455114 0.030446705542763453 2.257847012496713 0.0 0.0 2.3969744457476417e-06 6.189533257794248e-06 0.0 4.8081639560716356e+38 0.0 6.469611161467798 -inf 16.265826889098303 25.67279438806884 7.387467682807404e+52 2.0276532104877842e+53 8.360784997333459e+37 4.235064115439236e+37 4.125720881217703e+37 4.808005588879861e+38 2.160292211308676e+38 2.6477134633184786e+38 0.0 0.0 0.0 0.0 0.0
13 0.07986 3.7553728814484586 -inf 0.0 0.0 5.69341552734375e-05 5.69341552734375e-06 6.672242537059376 3.2297578140678444e-05 nan 5.754643231837541e-05 0.0947237978792598 nan 8.415479872134242 1.325008984557372 0.0 326.0 0.0 0.0 0.0989261882153068 0.16306869802312368 0.0 0.0 1.4497265465773485e-06 4.044223509518246e-05 1.3568119114431196 0.12758518816117304 -inf -inf -inf -inf -inf 0.38884405621280466 11.521913348359629 25.75439399138576 3.6873104572296143 0.0 0.14776379375802323 0.0 3.914857621525713e-05 0.0 2.0604658521682685e+39 0.0 0.0 0.0 0.12465124671644762 3.751079959862327e-05 2.0367604290701658e+39 26.142758093476107 0.0 0.0 0.11272897842156479 0.08504452678876752 2.147575258741082 0.0 0.0 1.3280276191620534e-06 8.01523023786703e-06 0.0 3.0178817478338554e+38 0.0 6.672242521182886 -inf 15.966731429182069 23.875429776202854 4.450460747364274e+52 2.5291310332886825e+53 3.5910053521330647e+37 1.6406049982863368e+37 1.9504003848716325e+37 3.0177823328523298e+38 5.382573288900155e+37 2.479525005615473e+38 0.0 0.0 0.0 0.0 0.0
14 0.08144 4.6014326105546015 -inf 0.0 0.0 0.000399422578125 3.99422578125e-05 6.698806179276916 1.9999999646391632e-06 nan 5.137022724751499e-05 0.10466945733583422 nan 8.457074958466936 1.3371604984295473 1.0 375.0 0.0030543516453114625 0.0 0.06942327684962732 0.20301858234109454 2.0622962000506842e-07 0.0 4.2113684681947835e-07 1.653169039661287e-05 1.8037325347541575 0.33506158420190435 -inf -inf -inf -inf -inf 0.4004717480550176 11.278978388998036 26.38267890993842 3.1878819465637207 0.0 0.17867031946619943 0.0 1.5006044153709431e-05 0.0 4.1971715983041695e+38 0.0 0.0 0.0 0.1283733173425866 1.199706847478911e-05 3.698013344444055e+38 26.623370955262015 0.0 0.0 0.16369825350058143 0.18068669197560808 2.8426984964734783 0.0 0.0 6.758700836488219e-06 1.2922911361759528e-05 0.0 3.783384942010953e+38 0.0 6.698806188738264 -inf 15.503855276796203 23.74064380317044 3.480532887166964e+52 1.772544473740956e+53 6.0169592806308995e+37 1.5912636291410817e+37 4.4256956726063475e+37 3.7832602796945986e+38 2.655104568158602e+37 3.517749810363775e+38 0.0 0.0 0.0 8.963133581376088e+50 6.436767270444782e+50
15 0.08302 4.057886870204126 -inf 0.0 0.0 0.0 1.1425806640625e-05 6.680646661417612 1.7097114325122546e-05 nan 4.650911444357507e-05 0.33925888814968314 nan 8.510898109912283 1.3511915433929658 0.0 544.0 0.0 0.0 0.27767863020072175 0.16321991046555356 0.0 0.0 2.3644771576221862e-05 1.0538778013452772e-05 3.684999228082869 0.6737597157261473 -inf -inf -inf -inf -inf 0.41221273997582253 11.045290291496025 27.355361802409792 2.4503333568573 0.0 0.1381127265376372 0.0 9.24050682432498e-06 0.0 1.615545501148892e+38 0.0 0.0 0.0 0.07227232949976477 6.1118457472298675e-06 1.0625628325646534e+38 27.19305984280589 0.0005806951805127409 0.0 0.33478977459643755 0.022589284743085202 5.389692210375784 1.1300348347281279e-07 0.0 1.6827171629517994e-05 1.4046110084737e-06 0.0 2.413461064138815e+37 0.0 6.680646618903696 -inf 17.253539939337916 24.14559189900323 2.6590451031798046e+52 1.124673170749096e+53 2.7050546700535596e+38 4.936927187037415e+37 2.2113619572002553e+38 2.4133815716892933e+37 2.1321286243448225e+36 2.2001687134068035e+37 0.0 0.0 0.0 0.0 0.0
16 0.0846 3.7553728814484586 -inf 0.0 0.0 0.0 5.69341552734375e-06 6.934746680900495 3.2297578140678444e-05 nan 5.655077095574874e-05 0.2744384704818892 nan 8.593910583671763 1.3771069076798101 7.0 525.0 0.008917882170019029 0.0024523272586474713 0.13101396850709218 0.10396939061666652 9.853741568695884e-07 4.028535527643073e-07 1.4053731133994672e-05 6.772872648138591e-06 3.1795433579036363 0.6421099605203957 -inf -inf -inf -inf -inf 0.4240659169647723 10.82033096926714 28.93991164582486 2.7097339630126953 0.0023923560970577308 0.0792926362396973 3.9478017746632954e-07 5.282183854775194e-06 1.4655906632820607e+37 1.0360195335848247e+38 0.0023923560970577308 3.9478017746632954e-07 1.4655906632820607e+37 0.02359298622465648 1.7794688716338326e-06 4.904204179216428e+37 28.729605423820313 0.0011547822464647295 0.0005790050199460063 0.27256957074700433 0.03986145005982598 3.868134132546758 2.137206287564283e-08 1.1267457764049514e-07 1.152923417490323e-05 3.888777556909198e-06 1.9570069529196265e+36 7.795239312454068e+37 0.0 6.934388804356675 3.85053471851508 17.53475302990375 25.499933357370104 5.576489678566115e+52 2.070829097164868e+53 2.3005629358373172e+38 5.943460878642609e+37 1.7062168389091213e+38 7.794976109539369e+37 1.7195435833120426e+37 6.075432470769241e+37 0.0 0.0 0.0 9.957296468479852e+50 5.3437275060608683e+51
17 0.08617 3.7553728814484586 3.849750301922718 0.0 0.0 0.0 5.69341552734375e-06 7.058741901558143 3.2297578140678444e-05 3.8994632614390336e-05 6.658079927788302e-05 0.21308175126043646 nan 8.628946088131793 1.3923110629279996 3.0 565.0 0.001196143910459477 0.0011185143031018471 0.3005029525873196 0.10248208820732804 2.1888592855410666e-08 1.5894755771972864e-07 3.410224372759245e-05 8.81422341717265e-06 3.107627657044149 0.7033982162364278 -inf -inf -inf -inf 3.849750301922718 0.4359541237521342 10.604966925844261 29.33729112431771 2.7086269855499268 0.001090535342790549 0.08164011775553236 1.562441814515091e-07 7.532483736807772e-06 1.9787123629265035e+36 1.0881044193306136e+38 0.001090535342790549 1.562441814515091e-07 1.9787123629265035e+36 0.043227180694189876 5.683351177629572e-06 8.48161454480646e+37 29.531183612850395 0.011376045413237477 0.0005685473334584238 0.44982767615836144 0.044385815581066114 5.854783905671697 5.90424406042161e-07 1.0404016600578135e-08 2.3075580237445963e-05 6.1435231153577366e-06 7.261124998953318e+35 2.7580116090572144e+38 0.0 7.058473647537066 4.150567749812296 17.1865079041579 26.9483913828319 1.1571544703510239e+53 3.787991762522437e+53 5.80906120804368e+38 6.637951596728892e+37 5.14526602757851e+38 2.757920747281541e+38 1.1437349394724534e+38 1.614185775705485e+38 4.8989079974057326e+35 9.33970101142953e+34 3.9649376512088386e+35 9.428534563848888e+49 7.82567177001701e+50
18 0.08775 4.225120458704791 4.1505023157221865 0.0 0.0 0.0 1.6792697265625e-05 7.217058097297043 1.2272125643406304e-05 4.1340779190001496e-05 7.187339807637162e-05 0.16298833153380451 nan 8.713330166258253 1.4144733789371735 46.0 793.0 0.03650802155564422 0.00343395957919894 0.5451523382216266 0.11210073326842511 2.4872888932578908e-06 3.8249939384369284e-07 5.087811643743754e-05 9.688112440039165e-06 5.826406651096864 0.5428691174710001 -inf 4.1505023157221865 -inf -inf -inf 0.448027751798017 10.396011396011398 31.230962976738383 2.1930580139160156 0.0032692897917540923 0.0880239691578056 3.6424634675223787e-07 8.076933159263066e-06 6.85208056814309e+36 1.4064517352081274e+38 0.00020097904013069415 3.048756806733102e-08 2.866053952964444e+36 0.039238196862197636 4.663833458487646e-06 1.0645269920503718e+38 30.904344913017958 0.03382428029720073 0.005076056256948977 1.3699703068491453 0.044010552302698895 14.064763905681758 2.448834648542054e-06 2.448742668810966e-07 5.081587247635901e-05 7.069880748813621e-06 8.013306036394398e+36 2.0731574631342453e+38 0.0 7.213502612636934 5.17184591218728 19.349975091787552 29.298541937905654 1.7602091135446004e+53 6.188946913460383e+53 1.8019595498532568e+39 1.9350513509850992e+38 1.6084544124984075e+39 2.0730892078569776e+38 4.839204940392024e+37 1.5891687025509564e+38 0.0 0.0 0.0 2.9327212767895928e+51 1.0144391605355153e+52
19 0.08933 4.529646469252859 5.462522477029408 0.0 0.0 0.0 3.385684375e-05 7.516572244394881 7.034770889744813e-06 0.00010035055492516674 6.719899048361142e-05 0.15021384866289433 nan 8.80850432514561 1.45649147613045 79.0 1100.0 0.028469152477335898 0.024866818965350066 0.6555052251860345 0.24208633466570806 2.458899272474347e-06 9.430078165172539e-07 1.8372187010190858e-05 3.40759299233047e-05 5.719404008063588 0.3560382974080366 -inf 5.381261734731106 -inf -inf 4.694621794820927 0.460210401578641 10.194447554013209 32.90700081141944 2.8011560440063477 0.021041655607345836 0.20689180195385298 8.377006493809478e-07 3.079535919087403e-05 3.087900610846678e+37 5.452829155212024e+38 0.010705180087117737 5.152453430910461e-07 2.13450097919451e+37 0.13623023508012538 2.597381805131214e-05 4.796323572444955e+38 34.339902636416795 0.01453398372632013 0.03074710484019035 0.7121303856708391 0.1325136819107878 5.762910448971917 1.0872293068185296e-06 2.380686436622883e-06 1.5089378452980631e-05 2.0034242272910702e-05 3.065676908908095e+37 3.441895702599042e+38 0.03636363636363636 7.513570171519048 5.712983648977622 20.419360072738034 30.42556038839264 2.2208796291653936e+53 1.5377079607674204e+54 7.199796243285568e+38 8.4461538082263865e+37 6.3551808674644894e+38 3.4417832219676165e+38 4.045881879873002e+37 3.037195036267359e+38 1.5403186157400674e+37 2.632320609257828e+36 1.2770865949483453e+37 4.5806375975834434e+51 1.4213150659358824e+52
20 0.09091 4.232219309155002 4.963786868474207 0.0 0.0 0.0 1.706944140625e-05 7.606275699912218 2.667550704552633e-05 9.323874617770471e-05 6.746475194403749e-05 0.2316102965382909 nan 8.851734711666294 1.4660518372407867 83.0 998.0 0.030744442667318718 0.03187534936651746 0.43156580658853394 0.2033433374937338 3.68360996585269e-06 2.7235081668935025e-06 8.344855507278199e-06 2.0489751388249597e-05 3.903154373092302 0.333846324691508 -inf 4.963786868474207 -inf -inf -inf 0.47250107029581284 9.999890001099988 33.90909138365235 4.499519348144531 0.02894634497756845 0.17054702745508007 2.3407123169470325e-06 1.7962218469554335e-05 3.017279880590597e+37 3.120284848297025e+38 0.0017857211761557758 2.8576042867663216e-07 9.984161727865881e+36 0.09995050161819007 1.3370243532534166e-05 2.5779720940014425e+38 35.525689587170106 0.0005824703446673689 0.02552980349392553 0.7093520370865193 0.13228598129016175 5.180359570270271 4.912081695742309e-07 2.3640866154414755e-06 1.7983582943574004e-05 2.2145236179851486e-05 4.69570354510994e+37 3.9135127875884035e+38 0.0 7.603910296674515 5.493302753996464 20.353379021103443 33.78857841842029 2.760483586860203e+53 1.550925775762442e+54 5.536107846984403e+38 8.340067920022596e+37 4.702101064994144e+38 3.9133994352705554e+38 4.700974181471826e+37 3.443302020034958e+38 1.34064339282027e+37 1.0539539656514571e+36 1.235248015710275e+37 3.9260301816771355e+51 3.064283997797843e+52
21 0.09242 3.75021827212992 -inf 0.0 0.0 0.0 5.626240234375e-06 7.676906873560244 3.229757904805494e-05 nan 6.337533852459556e-05 0.30842420326134123 nan 8.887154666909591 1.485049688845018 2.0 1163.0 0.001806967686611412 0.000717888844269184 0.44097963065382706 0.26473584492062296 1.7001696996668141e-06 2.896123492724604e-08 9.206853071907964e-06 3.285260295039239e-05 2.6515267328663414 0.23820907593386148 -inf -inf -inf -inf -inf 0.4843472616162803 9.820168794633195 34.27283667330477 4.9736223220825195 0.0006992001999522854 0.23050877746068185 2.8207293390399295e-08 2.9675181659879257e-05 6.93296266849829e+35 5.11494598234024e+38 0.0 0.0 0.0 0.1670445431569179 2.442395262778089e-05 4.774779336225039e+38 35.98485341700535 0.0 0.0 0.5938800944139958 0.37720138354292904 3.763031291327872 0.0 0.0 1.2947406898071035e-05 4.944038365527691e-05 0.0 1.1728153389169943e+39 0.0 7.676841628136514 3.8537641407258185 20.829251613665864 36.513376913544235 2.753362608779919e+53 1.4800812822465335e+54 4.075796814241598e+38 6.818773179489897e+37 3.393919495715068e+38 1.1727763863922284e+39 1.3449288867079838e+38 1.0382834970360495e+39 0.0 0.0 0.0 7.451619423266652e+51 6.799185639146839e+50
